MASTER_ID,ENTITY,ACTOR_OR_RULER,EVENT_CLASS,SOURCE_DATE_WORDING,YEAR_START,YEAR_END,DATE_PRECISION,ANALYSIS_STATUS,POOLING_STRATUM,EVENT_CLUSTER
M-V0A008,Šubria / Shupria,Ik-Tešub / Esarhaddon,SOVEREIGNTY_LOSS,673 BCE,-672,-672,EXACT_YEAR,PRIMARY,STATE_TRANSITION,SHUBRIA_LOSS_673BCE
M-AIRR001,Urartu,,FORMATION,mid-9th century BCE,,,MID_CENTURY_SOURCE_WORDING,SENSITIVITY,STATE_TRANSITION,URARTU_EMERGENCE
M-AIRR002,Urartu,,COLLAPSE,around 590 BCE,,,APPROXIMATE_NUMERIC_SOURCE_WORDING,SENSITIVITY,STATE_TRANSITION,URARTU_COLLAPSE
M-AIRR003,Greater Armenia / Artaxiad polity,,INDEPENDENCE,189 BCE,-188,-188,EXACT_YEAR,PRIMARY,STATE_TRANSITION,ARTAXIAD_INDEPENDENCE_189BCE
M-AIRR004,Artaxiad dynasty of Armenia,,DYNASTIC_TERMINATION,about 12 CE,,,APPROXIMATE_NUMERIC_SOURCE_WORDING,SENSITIVITY,STATE_TRANSITION,ARTAXIAD_END
M-AIRR005,Kingdom of Armenia / Arsacid settlement,,SOVEREIGNTY_SETTLEMENT,63 CE,63,63,EXACT_YEAR,PRIMARY,STATE_TRANSITION,ARSACID_RHANDAIA_63
M-AIRR006,Armenian Arsacid dynasty,,DYNASTIC_ESTABLISHMENT,180 CE,180,180,EXACT_YEAR,SENSITIVITY,STATE_TRANSITION,ARSACID_HEREDITARY_LINE
M-AIRR007,Kingdom of Armenia,,SOVEREIGNTY_PARTITION,387 CE,387,387,EXACT_YEAR,PRIMARY,STATE_TRANSITION,ARMENIA_PARTITION_387
M-AIRR008,Western Armenian kingdom,,SOVEREIGNTY_LOSS,390 CE,390,390,EXACT_YEAR,PRIMARY,STATE_TRANSITION,WEST_ARMENIA_ANNEX_390
M-AIRR009,Eastern Armenian kingdom / Persarmenia monarchy,,MONARCHY_ABOLITION,428 CE,428,428,EXACT_YEAR,PRIMARY,STATE_TRANSITION,EAST_ARMENIA_MONARCHY_END_428
M-AIRR010,Armenian Marzpanate,,FORMATION,428 CE,428,428,EXACT_YEAR,PRIMARY,STATE_TRANSITION,MARZPANATE_START_428
M-AIRR011,Armenian Marzpanate,,TERMINATION,mid-7th century CE,,,MID_CENTURY_SOURCE_WORDING,SENSITIVITY,STATE_TRANSITION,MARZPANATE_END
M-AIRR012,Bagratid Kingdom of Armenia,,SOVEREIGNTY_RESTORATION,884 CE,884,884,EXACT_YEAR,PRIMARY,STATE_TRANSITION,BAGRATID_RESTORATION_884
M-AIRR013,Kingdom of Kars / Vanand,,FORMATION,961 / 962 / 963 CE source disagreement,961,963,SOURCE_DISAGREEMENT_RANGE,SENSITIVITY,STATE_TRANSITION,KARS_START_962
M-AIRR014,Kingdom of Kars / Vanand,,SOVEREIGNTY_LOSS,1064 CE,1064,1064,EXACT_YEAR,PRIMARY,STATE_TRANSITION,KARS_END_1064
M-AIRR015,Kingdom of Lori / Tashir,,FORMATION,978 / 981 / older 982 CE chronologies,978,982,SOURCE_DISAGREEMENT_RANGE,SENSITIVITY,STATE_TRANSITION,LORI_START_982
M-AIRR016,Kingdom of Lori / Tashir,,TERMINATION,ca. 1101 CE,,,APPROXIMATE_NUMERIC_SOURCE_WORDING,SENSITIVITY,STATE_TRANSITION,LORI_END
M-AIRR017,Kingdom of Vaspurakan,,FORMATION,908 CE,908,908,EXACT_YEAR,PRIMARY,STATE_TRANSITION,VASPURAKAN_START_908
M-AIRR018,Kingdom of Vaspurakan,,SOVEREIGNTY_LOSS,1021 CE,1021,1021,EXACT_YEAR,PRIMARY,STATE_TRANSITION,VASPURAKAN_END_1021
M-AIRR019,Bagratid Kingdom of Armenia (Ani),,SOVEREIGNTY_LOSS,1045 CE,1045,1045,EXACT_YEAR,PRIMARY,STATE_TRANSITION,ANI_END_1045
M-AIRR020,Kingdom of Syunik,,TERMINATION,1170 CE,1170,1170,EXACT_YEAR,PRIMARY,STATE_TRANSITION,SYUNIK_END_1170
M-AIRR021,Armenian principality in Cilicia,,FORMATION,1080 CE,1080,1080,EXACT_YEAR,PRIMARY,STATE_TRANSITION,CILICIA_PRINCIPALITY_1080
M-AIRR022,Armenian Kingdom of Cilicia,,KINGDOM_ESTABLISHMENT,6 January 1198 CE,1198,1198,EXACT_DAY,PRIMARY,STATE_TRANSITION,CILICIA_KINGDOM_1198
M-AIRR023,Armenian Kingdom of Cilicia,,COLLAPSE,1375 CE,1375,1375,EXACT_YEAR,PRIMARY,STATE_TRANSITION,CILICIA_END_1375
M-AIRR024,Persian Armenia / Erivan region,,SOVEREIGNTY_LOSS,1827 CE,1827,1827,EXACT_YEAR,PRIMARY,STATE_TRANSITION,RUSSO_PERSIAN_TRANSFER_1827_1828
M-AIRR025,Persian Armenia / Erivan region,,LEGAL_SOVEREIGNTY_TRANSFER,1828 CE,1828,1828,EXACT_YEAR,PRIMARY,STATE_TRANSITION,RUSSO_PERSIAN_TRANSFER_1827_1828
M-AIRR026,First Republic of Armenia,,FORMATION,28 May 1918 CE,1918,1918,EXACT_DAY,PRIMARY,STATE_TRANSITION,FIRST_REPUBLIC_START_1918
M-AIRR027,First Republic of Armenia,,SOVEREIGNTY_LOSS,2 December 1920 CE,1920,1920,EXACT_DAY,PRIMARY,STATE_TRANSITION,FIRST_REPUBLIC_END_SOVIET_START_1920
M-AIRR028,Armenian Soviet Republic / Armenian SSR,,FORMATION,2 December 1920 CE,1920,1920,EXACT_DAY,PRIMARY,STATE_TRANSITION,FIRST_REPUBLIC_END_SOVIET_START_1920
M-AIRR029,Armenian Soviet Republic,,FEDERAL_INCORPORATION,1922 CE,1922,1922,EXACT_YEAR,PRIMARY,STATE_TRANSITION,TSFSR_INCORPORATION_1922
M-AIRR030,Armenian Soviet Socialist Republic,,UNION_REPUBLIC_STATUS,1936 CE,1936,1936,EXACT_YEAR,PRIMARY,STATE_TRANSITION,ARMENIAN_SSR_1936_STATUS
M-AIRR031,Republic of Armenia,,INDEPENDENCE_PROCESS_START,23 August 1990 CE,1990,1990,EXACT_DAY,PRIMARY,STATE_TRANSITION,THIRD_REPUBLIC_1990_1991
M-AIRR032,Republic of Armenia,,INDEPENDENCE_REFERENDUM,21 September 1991 CE,1991,1991,EXACT_DAY,PRIMARY,STATE_TRANSITION,THIRD_REPUBLIC_1990_1991
M-AIRR033,Republic of Armenia,,INDEPENDENCE_PROCLAMATION,23 September 1991 CE,1991,1991,EXACT_DAY,PRIMARY,STATE_TRANSITION,THIRD_REPUBLIC_1990_1991
M-AIRA001,Urartu,Aramu,SOVEREIGN_ACCESSION,850 BCE,-849,-849,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,URARTU_ARAMU_850
M-AIRA002,Urartu,Sarduri I,SOVEREIGN_ACCESSION,840 BCE,-839,-839,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,URARTU_SARDURI_I_840
M-AIRA003,Urartu,Ispuini,SOVEREIGN_ACCESSION,830 BCE,-829,-829,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,URARTU_ISPUINI_830
M-AIRA004,Urartu,Menua,SOVEREIGN_ACCESSION,810 BCE,-809,-809,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,URARTU_MENUA_810
M-AIRA005,Urartu,Argishti I,SOVEREIGN_ACCESSION,786 BCE,-785,-785,EXACT_YEAR,SENSITIVITY,SOVEREIGN_ACCESSION,URARTU_ARGISHTI_I_786
M-AIRA006,Urartu,Sarduri II,SOVEREIGN_ACCESSION,764 / 760 BCE,-763,-759,ALTERNATIVE_YEAR_RANGE,SENSITIVITY,SOVEREIGN_ACCESSION,URARTU_SARDURI_II
M-AIRA007,Urartu,Rusa I,SOVEREIGN_ACCESSION,735 / 730 BCE,-734,-729,ALTERNATIVE_YEAR_RANGE,SENSITIVITY,SOVEREIGN_ACCESSION,URARTU_RUSA_I
M-AIRA008,Urartu,Argishti II,SOVEREIGN_ACCESSION,714 / 713 BCE,-713,-712,ALTERNATIVE_YEAR_RANGE,SENSITIVITY,SOVEREIGN_ACCESSION,URARTU_ARGISHTI_II
M-AIRA009,Urartu,Rusa II,SOVEREIGN_ACCESSION,ca. 685 BCE,,,APPROXIMATE_YEAR,SENSITIVITY,SOVEREIGN_ACCESSION,URARTU_RUSA_II
M-AIRA010,Greater Armenia,Artaxias I,SOVEREIGN_ACCESSION,189 BCE,-188,-188,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,ARTAXIAD_189
M-AIRA011,Greater Armenia,Tigran II (Tigranes the Great),SOVEREIGN_ACCESSION,95 or 94 BCE; perhaps a few years earlier,-94,-93,SOURCE_DISAGREEMENT_RANGE,SENSITIVITY,SOVEREIGN_ACCESSION,TIGRAN_II_ACCESSION
M-AIRA012,Greater Armenia,Artavazdes II,SOVEREIGN_ACCESSION,55/54 BCE,-54,-53,ALTERNATIVE_YEAR_RANGE,SENSITIVITY,SOVEREIGN_ACCESSION,ARTAVAZDES_II_ACCESSION
M-AIRA014,Greater Armenia,Artaxias II,RESTORATION,ca. 30 BCE,,,APPROXIMATE_YEAR,SENSITIVITY,SOVEREIGN_ACCESSION,ARTAXIAS_II_34_30
M-AIRA015,Greater Armenia,Tigranes III,CLIENT_KING_ACCESSION,20 BCE,-19,-19,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,TIGRANES_III_20
M-AIRA016,Greater Armenia,Tigranes IV and Erato,CO_RULE_ACCESSION,ca. 6 BCE,,,APPROXIMATE_YEAR,SENSITIVITY,SOVEREIGN_ACCESSION,TIGRANES_IV_ERATO
