condition,event_id,date_tdb,era,display_year,astronomical_year,month,day,time_tdb,calendar,outer_phase,perihelion_date_tdb,perihelion_q_km,outer_distance_km,delta_outer_km,inner_distance_km,residual_km,roots_in_orbit,historical_event,category_type,location_region,historical_source,notes,jd_tdb
7_9,1,3832 BCE-01-03 12:25:35,BCE,3832,-3831,1,3,12:25:35,Julian,Receding from perihelion,3933 BCE-06-17,4428404507,7167524563,2739120056,2739120056,0,2,,,,,,321788.017766203731
7_9,2,3811 BCE-08-13 13:20:05,BCE,3811,-3810,8,13,13:20:05,Julian,Receding from perihelion,3933 BCE-06-17,4428404507,7317505895,2889101388,2889101388,0,2,,,,,,329680.055613425910
7_9,3,3586 BCE-06-08 11:31:01,BCE,3586,-3585,6,8,11:31:01,Julian,Receding from perihelion,3687 BCE-04-17,4428399187,7178826386,2750427199,2750427199,0,2,,,,,,411794.979872685159
7_9,4,3559 BCE-01-16 10:28:20,BCE,3559,-3558,1,16,10:28:20,Julian,Approaching perihelion,3687 BCE-04-17,4428399187,7313263061,2884863874,2884863874,0,2,,,,,,421513.936342592584
7_9,5,3338 BCE-02-17 18:12:30,BCE,3338,-3337,2,17,18:12:30,Julian,Receding from perihelion,3442 BCE-11-13,4429673679,7200808632,2771134953,2771134953,0,2,,,,,,502266.258680555562
7_9,6,3310 BCE-12-29 05:28:33,BCE,3310,-3309,12,29,05:28:33,Julian,Approaching perihelion,3442 BCE-11-13,4429673679,7294376253,2864702574,2864702574,0,2,,,,,,512807.728159722232
7_9,7,3090 BCE-05-24 14:28:29,BCE,3090,-3089,5,24,14:28:29,Julian,Receding from perihelion,3196 BCE-11-07,4428105694,7230087275,2801981581,2801981581,0,2,,,,,,592944.103113425896
7_9,8,3060 BCE-11-26 05:55:41,BCE,3060,-3059,11,26,05:55:41,Julian,Approaching perihelion,3196 BCE-11-07,4428105694,7271238276,2843132582,2843132583,-1,2,,,,,,604087.747002314776
7_9,9,2841 BCE-04-04 01:30:52,BCE,2841,-2840,4,4,01:30:52,Julian,Receding from perihelion,2949 BCE-02-05,4428711899,7256939168,2828227269,2828227269,0,2,,,,,,683841.563101851847
7_9,10,2811 BCE-11-28 17:09:31,BCE,2811,-2810,11,28,17:09:31,Julian,Approaching perihelion,2949 BCE-02-05,4428711899,7242530349,2813818450,2813818451,-1,2,,,,,,695037.214942129678
7_9,11,2592 BCE-09-22 16:52:57,BCE,2592,-2591,9,22,16:52:57,Julian,Receding from perihelion,2704 BCE-12-03,4430031387,7287425887,2857394500,2857394500,0,2,,,,,,774960.203437500051
7_9,12,2562 BCE-12-04 02:06:10,BCE,2562,-2561,12,4,02:06:10,Julian,Approaching perihelion,2704 BCE-12-03,4430031387,7214356687,2784325300,2784325300,0,2,,,,,,785989.587615740718
7_9,13,2342 BCE-07-11 08:00:36,BCE,2342,-2341,7,11,08:00:36,Julian,Receding from perihelion,2458 BCE-10-05,4430384037,7308359473,2877975436,2877975436,0,2,,,,,,866198.833749999991
7_9,14,2313 BCE-03-07 00:59:00,BCE,2313,-2312,3,7,00:59:00,Julian,Approaching perihelion,2458 BCE-10-05,4430384037,7186797046,2756413009,2756413009,0,2,,,,,,876665.540972222225
7_9,15,2091 BCE-02-05 20:09:34,BCE,2091,-2090,2,5,20:09:34,Julian,Receding from perihelion,2212 BCE-11-15,4428340637,7326898018,2898557381,2898557380,1,2,,,,,,957721.339976851828
7_9,16,2065 BCE-06-29 00:06:53,BCE,2065,-2064,6,29,00:06:53,Julian,Approaching perihelion,2212 BCE-11-15,4428340637,7163210988,2734870351,2734870351,0,2,,,,,,967361.504780092626
7_9,17,1840 BCE-12-20 15:37:20,BCE,1840,-1839,12,20,15:37:20,Julian,Approaching perihelion,1965 BCE-05-08,4430523288,7328589020,2898065732,2898065731,1,2,,,,,,1049717.150925925933
7_9,18,1819 BCE-12-21 14:25:07,BCE,1819,-1818,12,21,14:25:07,Julian,Approaching perihelion,1965 BCE-05-08,4430523288,7162123140,2731599852,2731599852,0,2,,,,,,1057388.100775463041
7_9,19,1583 BCE-06-15 04:47:18,BCE,1583,-1582,6,15,04:47:18,Julian,Approaching perihelion,1719 BCE-08-02,4430132405,7287282570,2857150165,2857150165,0,2,,,,,,1143397.699513888918
7_9,20,1575 BCE-01-31 13:21:20,BCE,1575,-1574,1,31,13:21:20,Julian,Approaching perihelion,1719 BCE-08-02,4430132405,7209554004,2779421599,2779421599,0,2,,,,,,1146185.056481481530
7_9,21,0632 BCE-04-28 03:52:51,BCE,632,-631,4,28,03:52:51,Julian,Receding from perihelion,0733 BCE-11-15,4432221150,7188005790,2755784640,2755784640,0,2,,,,,,1490702.661701388890
7_9,22,0616 BCE-02-22 15:37:05,BCE,616,-615,2,22,15:37:05,Julian,Receding from perihelion,0733 BCE-11-15,4432221150,7329716454,2897495304,2897495304,0,2,,,,,,1496482.150752314832
