threshold_days,compact_7_9,compact_3_6,observed_pairs,permitted_shift_days,computed_shift_proportion
10,0,2,0,0.000000000000,0.000000000000
15,1,2,1,3491.768437586026,0.001607873066
20,1,3,1,3491.768437586026,0.001607873066
25,1,5,1,3491.768437586026,0.001607873066
30,2,11,1,3491.768437586026,0.001607873066
35,3,14,1,17949.588599617535,0.008265341926
40,4,16,1,48632.715659743757,0.022394163604
45,4,24,1,48632.715659743757,0.022394163604
50,4,31,2,57999.715590302832,0.026707435566
60,6,46,2,106575.226574159926,0.049075257830
75,6,59,2,131932.785057947389,0.060751786800
100,7,72,2,178082.783668976452,0.082002720563
