threshold_days,compact_7_9,compact_3_6,observed_pairs,permitted_shift_days,span_days,computed_shift_proportion,monte_carlo_hits,monte_carlo_trials,monte_carlo_proportion
10,0,2,0,0,2171669.2134837965,0.0,0,100000,0.0
15,1,2,1,3491.7684375860263,2171669.2134837965,0.0016078730664439102,178,100000,0.00178
20,1,3,1,3491.7684375860263,2171669.2134837965,0.0016078730664439102,178,100000,0.00178
25,1,5,1,3491.7684375860263,2171669.2134837965,0.0016078730664439102,178,100000,0.00178
30,2,11,1,3491.7684375860263,2171669.2134837965,0.0016078730664439102,178,100000,0.00178
35,3,14,1,17949.588599617535,2171669.2134837965,0.008265341926002978,854,100000,0.00854
40,4,16,1,48632.71565974376,2171669.2134837965,0.02239416360363973,2273,100000,0.02273
45,4,24,1,48632.71565974376,2171669.2134837965,0.02239416360363973,2273,100000,0.02273
50,4,31,2,57999.71559030283,2171669.2134837965,0.026707435566238728,2683,100000,0.02683
60,6,46,2,106575.22657415993,2171669.2134837965,0.04907525783044634,4908,100000,0.04908
75,6,59,2,131932.7850579474,2171669.2134837965,0.060751786800117925,6066,100000,0.06066
100,7,72,2,178082.78366897645,2171669.2134837965,0.08200272056318175,8258,100000,0.08258
