condition,jd_tdb,date_tdb,astronomical_year,era,display_year,month,day,time_tdb,calendar,outer_body,outer_orbit_index,outer_phase,perihelion_jd_tdb,perihelion_date_tdb,perihelion_q_km,outer_distance_km,delta_outer_km,inner_distance_km,residual_km,roots_in_orbit
1_8,1669972.494884722866,0141 BCE-02-19 23:52:38,-140,BCE,141,2,19,23:52:38,Julian,neptune,0,Approaching perihelion,1626572.396162788151,0260 BCE-04-24 21:30:28,4456256287.820117950439,4506582278.656340599060,50325990.836222648621,50325990.836154818535,0.000026956201,26
1_8,1669992.591598545434,0141 BCE-03-11 02:11:54,-140,BCE,141,3,11,02:11:54,Julian,neptune,0,Approaching perihelion,1626572.396162788151,0260 BCE-04-24 21:30:28,4456256287.820117950439,4506519352.620487213135,50263064.800369262695,50263064.800216637552,0.000026956201,26
1_8,1670060.837844562018,0141 BCE-05-18 08:06:30,-140,BCE,141,5,18,08:06:30,Julian,neptune,0,Approaching perihelion,1626572.396162788151,0260 BCE-04-24 21:30:28,4456256287.820117950439,4506304027.182026863098,50047739.361908912659,50047739.361825332046,0.000026956201,26
1_8,1670080.186798678245,0141 BCE-06-06 16:28:59,-140,BCE,141,6,6,16:28:59,Julian,neptune,0,Approaching perihelion,1626572.396162788151,0260 BCE-04-24 21:30:28,4456256287.820117950439,4506242290.274608612061,49986002.454490661621,49986002.454515375197,0.000026956201,26
1_8,1670149.199440282537,0141 BCE-08-14 16:47:12,-140,BCE,141,8,14,16:47:12,Julian,neptune,0,Approaching perihelion,1626572.396162788151,0260 BCE-04-24 21:30:28,4456256287.820117950439,4506018634.751410484314,49762346.931292533875,49762346.931370519102,0.000026956201,26
1_8,1670167.762066246010,0141 BCE-09-02 06:17:23,-140,BCE,141,9,2,06:17:23,Julian,neptune,0,Approaching perihelion,1626572.396162788151,0260 BCE-04-24 21:30:28,4456256287.820117950439,4505957493.175829887390,49701205.355711936951,49701205.355694845319,0.000026956201,26
1_8,1670237.583985363366,0141 BCE-11-11 02:00:56,-140,BCE,141,11,11,02:00:56,Julian,neptune,0,Approaching perihelion,1626572.396162788151,0260 BCE-04-24 21:30:28,4456256287.820117950439,4505724572.564634323120,49468284.744516372681,49468284.744456350803,0.000026956201,26
1_8,1670255.316713612759,0141 BCE-11-28 19:36:04,-140,BCE,141,11,28,19:36:04,Julian,neptune,0,Approaching perihelion,1626572.396162788151,0260 BCE-04-24 21:30:28,4456256287.820117950439,4505664764.840796470642,49408477.020678520203,49408477.020689927042,0.000026956201,26
1_8,1670325.990820982726,0140 BCE-02-07 11:46:47,-139,BCE,140,2,7,11:46:47,Julian,neptune,0,Approaching perihelion,1626572.396162788151,0260 BCE-04-24 21:30:28,4456256287.820117950439,4505423513.238037109375,49167225.417919158936,49167225.417861886322,0.000026956201,26
1_8,1670342.849135888275,0140 BCE-02-24 08:22:45,-139,BCE,140,2,24,08:22:45,Julian,neptune,0,Approaching perihelion,1626572.396162788151,0260 BCE-04-24 21:30:28,4456256287.820117950439,4505365103.578678131104,49108815.758560180664,49108815.758542552590,0.000026956201,26
