condition,jd_tdb,date_tdb,astronomical_year,era,display_year,month,day,time_tdb,calendar,outer_body,outer_orbit_index,outer_phase,perihelion_jd_tdb,perihelion_date_tdb,perihelion_q_km,outer_distance_km,delta_outer_km,inner_distance_km,residual_km,roots_in_orbit
7_9,321788.017708794039,3832 BCE-01-03 12:25:30,-3831,BCE,3832,1,3,12:25:30,Julian,pluto,1,Receding from perihelion,285063.356686663406,3933 BCE-06-17 20:33:38,4428404504.974935531616,7167524560.078015327454,2739120055.103079795837,2739120055.103080749512,-0.000000953674,2
7_9,329680.055795121822,3811 BCE-08-13 13:20:21,-3810,BCE,3811,8,13,13:20:21,Julian,pluto,1,Receding from perihelion,285063.356686663406,3933 BCE-06-17 20:33:38,4428404504.974935531616,7317505897.840177536011,2889101392.865242004395,2889101392.865241527557,-0.000000953674,2
7_9,411794.979873842909,3586 BCE-06-08 11:31:01,-3585,BCE,3586,6,8,11:31:01,Julian,pluto,2,Receding from perihelion,374853.244520684704,3687 BCE-04-17 17:52:07,4428399187.201498985291,7178826385.809854507446,2750427198.608355522156,2750427198.608353614807,-0.000000953674,2
7_9,421513.936404408654,3559 BCE-01-16 10:28:25,-3558,BCE,3559,1,16,10:28:25,Julian,pluto,2,Approaching perihelion,374853.244520684704,3687 BCE-04-17 17:52:07,4428399187.201498985291,7313263062.461787223816,2884863875.260288238525,2884863875.260288715363,-0.000000953674,2
7_9,502266.258673992823,3338 BCE-02-17 18:12:29,-3337,BCE,3338,2,17,18:12:29,Julian,pluto,3,Receding from perihelion,464549.432825230411,3442 BCE-11-13 22:23:16,4429673678.327093124390,7200808631.388374328613,2771134953.061281204224,2771134953.061284065247,-0.000000953674,2
7_9,512807.728153898555,3310 BCE-12-29 05:28:32,-3309,BCE,3310,12,29,05:28:32,Julian,pluto,3,Approaching perihelion,464549.432825230411,3442 BCE-11-13 22:23:16,4429673678.327093124390,7294376252.555994987488,2864702574.228901863098,2864702574.228901863098,-0.000000953674,2
7_9,592944.103105567745,3090 BCE-05-24 14:28:28,-3089,BCE,3090,5,24,14:28:28,Julian,pluto,4,Receding from perihelion,554395.386532118195,3196 BCE-11-07 21:16:36,4428105693.639598846436,7230087273.955804824829,2801981580.316205978394,2801981580.316205024719,-0.000000953674,2
7_9,604087.747037804686,3060 BCE-11-26 05:55:44,-3059,BCE,3060,11,26,05:55:44,Julian,pluto,4,Approaching perihelion,554395.386532118195,3196 BCE-11-07 21:16:36,4428105693.639598846436,7271238276.096654891968,2843132582.457056045532,2843132582.457056522369,-0.000000953674,2
7_9,683841.563143062405,2841 BCE-04-04 01:30:56,-2840,BCE,2841,4,4,01:30:56,Julian,pluto,5,Receding from perihelion,644336.164275022573,2949 BCE-02-05 15:56:33,4428711900.302310943604,7256939167.921112060547,2828227267.618801116943,2828227267.618800163269,-0.000000953674,2
7_9,695037.214950830094,2811 BCE-11-28 17:09:32,-2810,BCE,2811,11,28,17:09:32,Julian,pluto,5,Approaching perihelion,644336.164275022573,2949 BCE-02-05 15:56:33,4428711900.302310943604,7242530350.633571624756,2813818450.331260681152,2813818450.331259250641,-0.000000953674,2
7_9,774960.203409943613,2592 BCE-09-22 16:52:55,-2591,BCE,2592,9,22,16:52:55,Julian,pluto,6,Receding from perihelion,734124.181583453552,2704 BCE-12-03 16:21:29,4430031386.751874923706,7287425887.513979911804,2857394500.762104988098,2857394500.762106418610,-0.000000953674,2
7_9,785989.587675139541,2562 BCE-12-04 02:06:15,-2561,BCE,2562,12,4,02:06:15,Julian,pluto,6,Approaching perihelion,734124.181583453552,2704 BCE-12-03 16:21:29,4430031386.751874923706,7214356687.619206428528,2784325300.867331504822,2784325300.867331504822,-0.000000953674,2
7_9,866198.833701008465,2342 BCE-07-11 08:00:32,-2341,BCE,2342,7,11,08:00:32,Julian,pluto,7,Receding from perihelion,823916.054235440330,2458 BCE-10-05 13:18:06,4430384037.112885475159,7308359471.642488479614,2877975434.529603004456,2877975434.529602050781,-0.000000953674,2
7_9,876665.540912130265,2313 BCE-03-07 00:58:55,-2312,BCE,2313,3,7,00:58:55,Julian,pluto,7,Approaching perihelion,823916.054235440330,2458 BCE-10-05 13:18:06,4430384037.112885475159,7186797048.114360809326,2756413011.001475334167,2756413011.001473903656,-0.000000953674,2
7_9,957721.339980627177,2091 BCE-02-05 20:09:34,-2090,BCE,2091,2,5,20:09:34,Julian,pluto,8,Receding from perihelion,913808.671657298342,2212 BCE-11-15 04:07:11,4428340637.843951225281,7326898017.789207458496,2898557379.945256233215,2898557379.945256233215,-0.000000953674,2
7_9,967361.504729752196,2065 BCE-06-29 00:06:49,-2064,BCE,2065,6,29,00:06:49,Julian,pluto,8,Approaching perihelion,913808.671657298342,2212 BCE-11-15 04:07:11,4428340637.843951225281,7163210991.038101196289,2734870353.194149971008,2734870353.194147109985,-0.000000953674,2
7_9,1049717.150833857711,1840 BCE-12-20 15:37:12,-1839,BCE,1840,12,20,15:37:12,Julian,pluto,9,Approaching perihelion,1003835.210968875559,1965 BCE-05-08 17:03:48,4430523288.489578247070,7328589023.080984115601,2898065734.591405868530,2898065734.591408252716,-0.000000953674,2
7_9,1057388.100750124315,1819 BCE-12-21 14:25:05,-1818,BCE,1819,12,21,14:25:05,Julian,pluto,9,Approaching perihelion,1003835.210968875559,1965 BCE-05-08 17:03:48,4430523288.489578247070,7162123140.203598976135,2731599851.714020729065,2731599851.714020729065,-0.000000953674,2
7_9,1143397.699208499864,1583 BCE-06-15 04:46:52,-1582,BCE,1583,6,15,04:46:52,Julian,pluto,10,Approaching perihelion,1093771.757758694235,1719 BCE-08-02 06:11:10,4430132404.369071960449,7287282578.269356727600,2857150173.900284767151,2857150173.900286197662,-0.000000953674,2
