condition,status,reference_date,generated_date,delta_seconds
1_8,matched,4000 BCE-01-15 07:09:40,4000 BCE-01-15 07:09:39,-0.542729907
1_8,matched,4000 BCE-02-08 04:50:57,4000 BCE-02-08 04:50:57,0.485033076
1_8,matched,4000 BCE-04-12 20:04:53,4000 BCE-04-12 20:04:53,0.483697839
1_8,matched,4000 BCE-05-07 14:23:59,4000 BCE-05-07 14:23:59,0.259689800
1_8,matched,4000 BCE-07-09 09:26:58,4000 BCE-07-09 09:26:58,0.014742929
1_8,matched,4000 BCE-08-03 23:30:23,4000 BCE-08-03 23:30:23,0.118841138
1_8,matched,4000 BCE-10-04 23:12:42,4000 BCE-10-04 23:12:42,0.008934271
1_8,matched,4000 BCE-10-31 08:13:22,4000 BCE-10-31 08:13:22,-0.363159366
1_8,matched,4000 BCE-12-31 13:26:05,4000 BCE-12-31 13:26:05,-0.119313877
1_8,matched,3999 BCE-01-27 16:32:01,3999 BCE-01-27 16:32:01,-0.289965235
1_8,matched,3999 BCE-03-29 04:00:50,3999 BCE-03-29 04:00:50,0.233822409
1_8,matched,3999 BCE-04-26 00:26:34,3999 BCE-04-26 00:26:34,-0.368092954
1_8,matched,3999 BCE-06-24 18:57:17,3999 BCE-06-24 18:57:17,-0.201648474
1_8,matched,3999 BCE-07-23 07:57:00,3999 BCE-07-23 07:56:59,-0.307368580
1_8,matched,3999 BCE-09-20 10:14:01,3999 BCE-09-20 10:14:01,0.108777825
1_8,matched,3999 BCE-10-19 15:08:28,3999 BCE-10-19 15:08:28,-0.350148976
1_8,matched,3999 BCE-12-17 01:49:20,3999 BCE-12-17 01:49:20,0.300526433
1_8,matched,3998 BCE-01-15 22:01:40,3998 BCE-01-15 22:01:40,0.083053764
1_8,matched,3998 BCE-03-14 17:47:16,3998 BCE-03-14 17:47:16,0.391370337
1_8,matched,3998 BCE-04-14 04:35:23,3998 BCE-04-14 04:35:23,0.426252466
1_8,matched,3998 BCE-06-10 10:00:34,3998 BCE-06-10 10:00:34,0.007656869
1_8,matched,3998 BCE-07-11 10:51:44,3998 BCE-07-11 10:51:44,0.006977934
1_8,matched,3998 BCE-09-06 02:27:29,3998 BCE-09-06 02:27:29,-0.433889218
1_8,matched,3998 BCE-10-07 16:52:10,3998 BCE-10-07 16:52:10,0.390364509
1_8,matched,3998 BCE-12-02 19:09:23,3998 BCE-12-02 19:09:23,0.385119114
1_8,matched,3997 BCE-01-03 22:39:18,3997 BCE-01-03 22:39:18,0.232703425
1_8,matched,3997 BCE-02-28 12:04:11,3997 BCE-02-28 12:04:11,0.122019555
1_8,matched,3997 BCE-04-01 04:14:19,3997 BCE-04-01 04:14:19,0.041502994
1_8,matched,3997 BCE-05-26 05:13:13,3997 BCE-05-26 05:13:13,-0.052398629
1_8,matched,3997 BCE-06-28 09:37:37,3997 BCE-06-28 09:37:37,-0.199506059
1_8,matched,3997 BCE-08-21 22:28:59,3997 BCE-08-21 22:28:59,0.109051913
1_8,matched,3997 BCE-09-24 14:52:35,3997 BCE-09-24 14:52:35,-0.217183493
1_8,matched,3997 BCE-11-17 15:50:44,3997 BCE-11-17 15:50:44,0.140934158
1_8,matched,3997 BCE-12-21 20:00:16,3997 BCE-12-21 20:00:16,0.290782470
1_8,matched,3996 BCE-02-13 09:21:01,3996 BCE-02-13 09:21:01,0.350724813
1_8,matched,3996 BCE-03-20 01:01:16,3996 BCE-03-20 01:01:16,0.189965777
1_8,matched,3996 BCE-05-12 02:56:06,3996 BCE-05-12 02:56:06,0.101495627
1_8,matched,3996 BCE-06-16 06:00:48,3996 BCE-06-16 06:00:48,-0.014526676
1_8,matched,3996 BCE-08-07 20:32:14,3996 BCE-08-07 20:32:14,-0.345665496
1_8,matched,3996 BCE-09-12 10:57:44,3996 BCE-09-12 10:57:44,0.109514594
1_8,matched,3996 BCE-11-03 14:06:37,3996 BCE-11-03 14:06:37,-0.348851457
1_8,matched,3996 BCE-12-09 15:57:22,3996 BCE-12-09 15:57:22,0.180812739
1_8,matched,3995 BCE-01-30 07:37:41,3995 BCE-01-30 07:37:41,0.211867690
1_8,matched,3995 BCE-03-07 20:58:48,3995 BCE-03-07 20:58:48,0.212355517
1_8,matched,3995 BCE-04-28 01:09:07,3995 BCE-04-28 01:09:07,-0.460478291
1_8,matched,3995 BCE-06-04 02:05:37,3995 BCE-06-04 02:05:37,0.126281753
1_8,matched,3995 BCE-07-24 18:31:47,3995 BCE-07-24 18:31:47,-0.025683828
1_8,matched,3995 BCE-08-31 07:21:26,3995 BCE-08-31 07:21:26,-0.220824592
1_8,matched,3995 BCE-10-20 11:44:08,3995 BCE-10-20 11:44:08,-0.057377480
1_8,matched,3995 BCE-11-27 12:45:46,3995 BCE-11-27 12:45:46,-0.147937238
1_8,matched,3994 BCE-01-16 04:46:06,3994 BCE-01-16 04:46:06,-0.411036797
1_8,matched,3994 BCE-02-23 18:21:17,3994 BCE-02-23 18:21:17,-0.198595785
1_8,matched,3994 BCE-04-13 21:36:23,3994 BCE-04-13 21:36:23,0.080531649
1_8,matched,3994 BCE-05-23 00:10:19,3994 BCE-05-23 00:10:19,0.452693179
1_8,matched,3994 BCE-07-10 14:15:27,3994 BCE-07-10 14:15:27,0.119080022
1_8,matched,3994 BCE-08-19 06:15:49,3994 BCE-08-19 06:15:49,-0.425827503
1_8,matched,3994 BCE-10-06 06:35:11,3994 BCE-10-06 06:35:11,0.305610895
1_8,matched,3994 BCE-11-15 12:39:49,3994 BCE-11-15 12:39:49,0.206727907
1_8,matched,3993 BCE-01-01 22:35:45,3993 BCE-01-01 22:35:45,0.075155497
1_8,matched,3993 BCE-02-11 19:19:22,3993 BCE-02-11 19:19:22,-0.303020887
1_8,matched,3993 BCE-03-29 14:20:44,3993 BCE-03-29 14:20:44,-0.037929788
1_8,matched,3993 BCE-05-10 02:17:30,3993 BCE-05-10 02:17:30,-0.071881525
1_8,matched,3993 BCE-06-25 05:45:45,3993 BCE-06-25 05:45:45,-0.428975746
1_8,matched,3993 BCE-08-06 09:37:36,3993 BCE-08-06 09:37:36,-0.467820838
1_8,matched,3993 BCE-09-20 20:52:54,3993 BCE-09-20 20:52:54,0.398031436
1_8,matched,3993 BCE-11-02 17:19:58,3993 BCE-11-02 17:19:58,-0.252387486
1_8,matched,3993 BCE-12-17 11:36:23,3993 BCE-12-17 11:36:23,-0.060374849
1_8,matched,3992 BCE-01-30 01:22:52,3992 BCE-01-30 01:22:52,-0.085701607
1_8,matched,3992 BCE-03-15 01:59:10,3992 BCE-03-15 01:59:10,0.079651549
1_8,matched,3992 BCE-04-28 09:43:41,3992 BCE-04-28 09:43:41,-0.307708047
1_8,matched,3992 BCE-06-10 16:04:07,3992 BCE-06-10 16:04:07,-0.066766888
1_8,matched,3992 BCE-07-25 18:26:02,3992 BCE-07-25 18:26:02,-0.235977396
1_8,matched,3992 BCE-09-06 05:47:16,3992 BCE-09-06 05:47:16,-0.180903263
1_8,matched,3992 BCE-10-22 03:31:59,3992 BCE-10-22 03:31:59,0.053686090
1_8,matched,3992 BCE-12-02 19:11:35,3992 BCE-12-02 19:11:35,0.133699737
1_8,matched,3991 BCE-01-18 12:56:21,3991 BCE-01-18 12:56:22,0.561267324
1_8,matched,3991 BCE-02-28 08:16:48,3991 BCE-02-28 08:16:48,0.331510976
1_8,matched,3991 BCE-04-16 22:37:48,3991 BCE-04-16 22:37:48,0.175501965
1_8,matched,3991 BCE-05-26 21:04:09,3991 BCE-05-26 21:04:09,0.316725299
1_8,matched,3991 BCE-07-14 08:36:01,3991 BCE-07-14 08:36:01,-0.101945736
1_8,matched,3991 BCE-08-22 09:36:31,3991 BCE-08-22 09:36:31,0.331495889
1_8,matched,3991 BCE-10-10 18:51:57,3991 BCE-10-10 18:51:57,0.460448116
1_8,matched,3991 BCE-11-17 21:51:37,3991 BCE-11-17 21:51:37,-0.245306455
1_8,matched,3990 BCE-01-07 05:25:13,3990 BCE-01-07 05:25:13,-0.152121484
1_8,matched,3990 BCE-02-13 09:53:37,3990 BCE-02-13 09:53:37,-0.343349576
1_8,matched,3990 BCE-04-05 16:07:21,3990 BCE-04-05 16:07:22,0.515954755
1_8,matched,3990 BCE-05-11 21:45:03,3990 BCE-05-11 21:45:03,0.321100652
1_8,matched,3990 BCE-07-03 03:02:21,3990 BCE-07-03 03:02:21,-0.185685977
1_8,matched,3990 BCE-08-07 09:22:57,3990 BCE-08-07 09:22:57,0.198128074
1_8,matched,3990 BCE-09-29 14:08:49,3990 BCE-09-29 14:08:49,0.464929081
1_8,matched,3990 BCE-11-02 20:52:15,3990 BCE-11-02 20:52:15,0.336942449
1_8,matched,3990 BCE-12-27 01:26:06,3990 BCE-12-27 01:26:06,-0.409005024
1_8,matched,3989 BCE-01-29 08:12:39,3989 BCE-01-29 08:12:39,-0.215805508
1_8,matched,3989 BCE-03-24 12:49:44,3989 BCE-03-24 12:49:44,-0.243697129
1_8,matched,3989 BCE-04-25 19:28:02,3989 BCE-04-25 19:28:02,0.009937584
1_8,matched,3989 BCE-06-21 00:15:15,3989 BCE-06-21 00:15:15,-0.136068463
1_8,matched,3989 BCE-07-22 06:39:35,3989 BCE-07-22 06:39:35,0.093250349
1_8,matched,3989 BCE-09-17 11:47:02,3989 BCE-09-17 11:47:02,-0.194476917
1_8,matched,3989 BCE-10-17 17:43:53,3989 BCE-10-17 17:43:53,0.024602562
1_8,matched,3989 BCE-12-14 23:24:08,3989 BCE-12-14 23:24:08,-0.047721528
1_8,matched,3988 BCE-01-13 04:48:19,3988 BCE-01-13 04:48:19,-0.201568007
1_8,matched,3988 BCE-03-13 11:01:37,3988 BCE-03-13 11:01:37,-0.212345459
1_8,matched,3988 BCE-04-10 15:53:26,3988 BCE-04-10 15:53:26,-0.187179632
1_8,matched,3988 BCE-06-09 22:37:52,3988 BCE-06-09 22:37:53,0.509331375
1_8,matched,3988 BCE-07-07 02:57:15,3988 BCE-07-07 02:57:15,-0.098686852
1_8,matched,3988 BCE-09-06 10:10:51,3988 BCE-09-06 10:10:51,0.039342977
1_8,matched,3988 BCE-10-02 14:03:17,3988 BCE-10-02 14:03:17,0.005582348
1_8,matched,3988 BCE-12-03 21:44:36,3988 BCE-12-03 21:44:36,0.225687772
